timestamp,route_name,direction,hour_of_day,route_delay_s,is_congested,weather,temp,rain_mm,humidity,visibility,day_of_week,is_holiday
2026-05-13 03:00:00,Vinh Tuy Bridge,Inbound,3,0,0,Partially cloudy,27.0,0.0,88.83,10000.0,2,0
2026-05-13 03:00:00,Vinh Tuy Bridge,Outbound,3,0,0,Partially cloudy,27.0,0.0,88.83,10000.0,2,0
2026-05-13 07:10:00,Vinh Tuy Bridge,Inbound,7,66,0,Overcast,27.0,0.0,88.83,10000.0,2,0
2026-05-13 07:10:00,Vinh Tuy Bridge,Outbound,7,157,1,Overcast,27.0,0.0,88.83,10000.0,2,0
2026-05-13 07:30:00,Vinh Tuy Bridge,Inbound,7,96,1,Overcast,27.0,0.0,88.83,10000.0,2,0
2026-05-13 07:30:00,Vinh Tuy Bridge,Outbound,7,200,1,Overcast,27.0,0.0,88.83,10000.0,2,0
2026-05-13 10:00:00,Vinh Tuy Bridge,Inbound,10,52,0,Clear,31.0,0.0,70.47,10000.0,2,0
2026-05-13 10:00:00,Vinh Tuy Bridge,Outbound,10,57,0,Clear,31.0,0.0,70.47,10000.0,2,0
2026-05-13 12:00:00,Vinh Tuy Bridge,Inbound,12,45,0,Overcast,33.0,0.0,66.77,10000.0,2,0
2026-05-13 12:00:00,Vinh Tuy Bridge,Outbound,12,51,0,Overcast,33.0,0.0,66.77,10000.0,2,0
2026-05-13 15:00:00,Vinh Tuy Bridge,Inbound,15,54,0,Overcast,35.9,0.0,47.22,10000.0,2,0
2026-05-13 15:00:00,Vinh Tuy Bridge,Outbound,15,68,0,Overcast,35.9,0.0,47.22,10000.0,2,0
2026-05-13 16:00:00,Vinh Tuy Bridge,Inbound,16,82,0,Partially cloudy,35.0,0.0,53.0,10000.0,2,0
2026-05-13 16:00:00,Vinh Tuy Bridge,Outbound,16,104,0,Partially cloudy,35.0,0.0,53.0,10000.0,2,0
2026-05-13 17:10:00,Vinh Tuy Bridge,Inbound,17,138,1,Partially cloudy,35.9,0.0,50.15,10000.0,2,0
2026-05-13 17:10:00,Vinh Tuy Bridge,Outbound,17,156,1,Partially cloudy,35.9,0.0,50.15,10000.0,2,0
2026-05-13 20:00:00,Vinh Tuy Bridge,Inbound,20,30,0,Partially cloudy,31.0,0.0,79.32,10000.0,2,0
2026-05-13 20:00:00,Vinh Tuy Bridge,Outbound,20,41,0,Partially cloudy,31.0,0.0,79.32,10000.0,2,0
2026-05-13 22:30:00,Vinh Tuy Bridge,Inbound,22,0,0,Partially cloudy,29.0,0.0,88.99,10000.0,2,0
2026-05-13 22:30:00,Vinh Tuy Bridge,Outbound,22,0,0,Partially cloudy,29.0,0.0,88.99,10000.0,2,0
2026-05-12 03:00:00,Vinh Tuy Bridge,Inbound,3,0,0,Partially cloudy,25.0,0.0,100.0,6000.0,1,0
2026-05-12 03:00:00,Vinh Tuy Bridge,Outbound,3,0,0,Partially cloudy,25.0,0.0,100.0,6000.0,1,0
2026-05-12 07:10:00,Vinh Tuy Bridge,Inbound,7,68,0,Partially cloudy,26.0,0.0,94.23,5000.0,1,0
2026-05-12 07:10:00,Vinh Tuy Bridge,Outbound,7,155,1,Partially cloudy,26.0,0.0,94.23,5000.0,1,0
2026-05-12 07:30:00,Vinh Tuy Bridge,Inbound,7,94,1,Partially cloudy,26.0,0.0,94.23,5000.0,1,0
2026-05-12 07:30:00,Vinh Tuy Bridge,Outbound,7,204,1,Partially cloudy,26.0,0.0,94.23,5000.0,1,0
2026-05-12 10:00:00,Vinh Tuy Bridge,Inbound,10,61,0,Partially cloudy,30.0,0.0,70.28,10000.0,1,0
2026-05-12 10:00:00,Vinh Tuy Bridge,Outbound,10,53,0,Partially cloudy,30.0,0.0,70.28,10000.0,1,0
2026-05-12 12:00:00,Vinh Tuy Bridge,Inbound,12,57,0,Partially cloudy,31.0,0.0,66.37,10000.0,1,0
2026-05-12 12:00:00,Vinh Tuy Bridge,Outbound,12,45,0,Partially cloudy,31.0,0.0,66.37,10000.0,1,0
2026-05-12 15:00:00,Vinh Tuy Bridge,Inbound,15,67,0,Partially cloudy,33.0,0.1,62.92,10000.0,1,0
2026-05-12 15:00:00,Vinh Tuy Bridge,Outbound,15,56,0,Partially cloudy,33.0,0.1,62.92,10000.0,1,0
2026-05-12 16:00:00,Vinh Tuy Bridge,Inbound,16,96,1,Partially cloudy,34.0,0.0,59.49,10000.0,1,0
2026-05-12 16:00:00,Vinh Tuy Bridge,Outbound,16,79,0,Partially cloudy,34.0,0.0,59.49,10000.0,1,0
2026-05-12 17:10:00,Vinh Tuy Bridge,Inbound,17,155,1,Partially cloudy,33.0,0.0,62.92,10000.0,1,0
2026-05-12 17:10:00,Vinh Tuy Bridge,Outbound,17,130,0,Partially cloudy,33.0,0.0,62.92,10000.0,1,0
2026-05-12 20:00:00,Vinh Tuy Bridge,Inbound,20,35,0,Overcast,29.0,0.0,79.05,10000.0,1,0
2026-05-12 20:00:00,Vinh Tuy Bridge,Outbound,20,47,0,Overcast,29.0,0.0,79.05,10000.0,1,0
2026-05-12 22:30:00,Vinh Tuy Bridge,Inbound,22,0,0,Partially cloudy,28.0,0.0,83.78,10000.0,1,0
2026-05-12 22:30:00,Vinh Tuy Bridge,Outbound,22,0,0,Partially cloudy,28.0,0.0,83.78,10000.0,1,0
2026-05-11 03:00:00,Vinh Tuy Bridge,Inbound,3,0,0,Partially cloudy,24.0,0.0,94.15,7000.0,0,0
2026-05-11 03:00:00,Vinh Tuy Bridge,Outbound,3,0,0,Partially cloudy,24.0,0.0,94.15,7000.0,0,0
2026-05-11 07:10:00,Vinh Tuy Bridge,Inbound,7,139,1,Partially cloudy,25.0,0.0,88.68,5000.0,0,0
